loan_id,current_balance,payment_status,days_past_due,last_updated_at,servicer_name
LN101464,428072.31,closed_paid,0,2026-11-07,Summit Home Loans
LN101469,70412.79,90plus_dpd,48,2026-06-24,BluePeak Servicing
LN101473,219177.72,current,0,2025-05-19,BluePeak Servicing
LN101479,92855.72,current,116,2026-06-30,Northstar Mortgage Svc
LN101481,448524.06,60_dpd,11,2025-07-22,Northstar Mortgage Svc
LN101487,197356.57,current,114,2026-10-28,Summit Home Loans
LN101488,608669.19,current,0,2025-02-07,Summit Home Loans
LN101490,139919.8,30_dpd,46,2025-09-07,Northstar Mortgage Svc
LN101491,216633.37,current,0,2025-06-05,Meridian Loan Servicing
LN101493,186790.27,current,0,2026-08-25,BluePeak Servicing
LN101494,328469.7,closed_default,107,2025-04-12,Coastal Capital Servicing
LN101495,499398.27,current,0,2025-04-24,BluePeak Servicing
LN101497,260263.3,current,0,2026-04-23,Northstar Mortgage Svc
